,checking_status,duration,credit_history,purpose,credit_amount,savings_status,personal_status,age,class
0,1,6.0,1,6,1169.0,4,3,67.0,1
1,0,48.0,3,6,5951.0,2,0,22.0,0
2,3,12.0,1,2,2096.0,2,3,49.0,1
3,1,42.0,3,3,7882.0,2,3,45.0,1
4,1,24.0,2,4,4870.0,2,3,53.0,0
5,3,36.0,3,2,9055.0,4,3,35.0,1
6,3,24.0,3,3,2835.0,1,3,53.0,1
7,0,36.0,3,9,6948.0,2,3,35.0,1
8,3,12.0,3,6,3059.0,3,1,61.0,1
9,0,30.0,1,4,5234.0,2,2,28.0,0
10,0,12.0,3,4,1295.0,2,0,25.0,0
11,1,48.0,3,0,4308.0,2,0,24.0,0
12,0,12.0,3,6,1567.0,2,0,22.0,1
13,1,24.0,1,4,1199.0,2,3,60.0,0
14,1,15.0,3,4,1403.0,2,0,28.0,1
15,1,24.0,3,6,1282.0,0,0,32.0,0
16,3,24.0,1,6,2424.0,4,3,53.0,1
17,1,30.0,4,0,8072.0,4,3,25.0,1
18,0,24.0,3,9,12579.0,2,0,44.0,0
19,3,24.0,3,6,3430.0,1,3,31.0,1
20,3,9.0,1,4,2134.0,2,3,48.0,1
21,1,6.0,3,6,2647.0,1,3,44.0,1
22,1,10.0,1,4,2241.0,2,3,48.0,1
23,0,12.0,1,9,1804.0,0,3,44.0,1
24,3,10.0,1,3,2069.0,4,2,26.0,1
25,1,6.0,3,3,1374.0,2,3,36.0,1
26,3,6.0,4,6,426.0,2,2,39.0,1
27,2,12.0,0,6,409.0,3,0,42.0,1
28,0,7.0,3,6,2415.0,2,3,34.0,1
29,1,60.0,2,0,6836.0,2,3,63.0,0
30,0,18.0,3,0,1913.0,3,2,36.0,1
31,1,24.0,3,3,4020.0,2,3,27.0,1
32,0,18.0,3,4,5866.0,0,3,30.0,1
33,3,12.0,1,0,1264.0,4,3,57.0,1
34,2,12.0,3,3,1474.0,2,0,33.0,1
35,0,45.0,1,6,4746.0,2,3,25.0,0
36,3,48.0,1,2,6110.0,2,3,31.0,1
37,2,18.0,3,6,2100.0,2,3,37.0,0
38,2,10.0,3,1,1225.0,2,3,37.0,1
39,0,9.0,3,6,458.0,2,3,24.0,1
40,3,30.0,3,6,2333.0,1,3,30.0,1
41,0,12.0,3,6,1158.0,1,1,26.0,1
42,0,18.0,2,7,6204.0,2,3,44.0,1
43,1,30.0,1,9,6187.0,0,2,24.0,1
44,1,48.0,1,9,6143.0,2,0,58.0,0
45,3,11.0,1,4,1393.0,2,0,35.0,1
46,3,36.0,3,6,2299.0,1,3,39.0,1
47,1,6.0,3,9,1352.0,1,0,23.0,1
48,3,11.0,1,4,7228.0,2,3,39.0,1
49,3,12.0,3,6,2073.0,0,0,28.0,1
50,0,24.0,2,3,2333.0,4,3,29.0,1
51,0,27.0,2,9,5965.0,2,3,30.0,1
52,3,12.0,3,6,1262.0,2,3,25.0,1
53,3,18.0,3,9,3378.0,4,3,31.0,1
54,0,36.0,2,4,2225.0,2,3,57.0,0
55,3,6.0,0,4,783.0,4,3,26.0,1
56,0,12.0,3,6,6468.0,4,3,52.0,0
57,3,36.0,1,6,9566.0,2,0,31.0,1
58,2,18.0,3,4,1961.0,2,0,23.0,1
59,1,36.0,1,3,6229.0,2,0,23.0,0
60,0,9.0,3,0,1391.0,2,2,27.0,1
61,0,15.0,1,6,1537.0,4,3,50.0,1
62,0,36.0,4,0,1953.0,2,3,61.0,0
63,0,48.0,4,0,14421.0,2,3,25.0,0
64,3,24.0,3,6,3181.0,2,0,26.0,1
65,3,27.0,3,7,5190.0,4,3,48.0,1
66,3,12.0,3,6,2171.0,2,0,29.0,1
67,0,12.0,3,4,1007.0,3,2,22.0,1
68,3,36.0,3,2,1819.0,2,3,37.0,0
69,3,36.0,3,6,2394.0,4,0,25.0,1
70,3,36.0,3,9,8133.0,2,0,30.0,1
71,3,7.0,1,6,730.0,4,3,46.0,1
72,1,8.0,1,5,1164.0,2,3,51.0,1
73,0,42.0,1,0,5954.0,2,0,41.0,1
74,1,36.0,3,2,1977.0,4,3,40.0,0
75,1,12.0,1,9,1526.0,2,3,66.0,1
76,1,42.0,3,6,3965.0,2,3,34.0,0
77,0,11.0,2,6,4771.0,2,3,51.0,1
78,3,54.0,4,9,9436.0,4,3,39.0,1
79,0,30.0,3,3,3832.0,2,2,22.0,1
80,3,24.0,3,6,5943.0,4,0,44.0,0
81,3,15.0,3,6,1213.0,1,3,47.0,1
82,3,18.0,3,0,1568.0,0,0,24.0,1
83,1,24.0,3,5,1755.0,2,0,58.0,1
84,1,10.0,3,6,2315.0,2,3,52.0,1
85,3,12.0,1,0,1412.0,2,0,29.0,1
86,0,18.0,1,3,1295.0,2,0,27.0,1
87,0,36.0,3,2,12612.0,0,3,47.0,0
88,1,18.0,3,4,2249.0,0,3,30.0,1
89,1,12.0,4,7,1108.0,2,3,28.0,0
90,3,12.0,1,6,618.0,2,3,56.0,1
91,1,12.0,1,9,1409.0,2,3,54.0,1
92,3,12.0,1,6,797.0,4,0,33.0,0
93,2,24.0,1,3,3617.0,4,3,20.0,1
94,0,12.0,3,4,1318.0,3,3,54.0,1
95,0,54.0,4,0,15945.0,2,3,58.0,0
96,3,12.0,1,2,2012.0,4,0,61.0,1
97,0,18.0,3,0,2622.0,0,3,34.0,1
98,0,36.0,1,6,2337.0,2,3,36.0,1
99,0,20.0,2,9,7057.0,4,3,36.0,1
100,3,24.0,3,4,1469.0,0,2,41.0,1
101,0,36.0,3,6,2323.0,2,3,24.0,1
102,3,6.0,2,6,932.0,2,0,24.0,1
103,0,9.0,1,3,1919.0,2,3,35.0,1
104,3,12.0,3,9,2445.0,4,2,26.0,1
105,0,24.0,1,5,11938.0,2,3,39.0,0
106,3,18.0,0,4,6458.0,2,3,39.0,0
107,0,12.0,3,4,6078.0,2,3,32.0,1
108,1,24.0,3,3,7721.0,4,0,30.0,1
109,0,14.0,3,0,1410.0,1,2,35.0,1
110,0,6.0,2,0,1449.0,0,1,31.0,1
111,2,15.0,3,2,392.0,2,0,23.0,1
112,0,18.0,3,4,6260.0,2,3,28.0,1
113,3,36.0,1,4,7855.0,2,0,25.0,0
114,1,12.0,3,6,1680.0,1,2,35.0,1
115,3,48.0,1,6,3578.0,4,3,47.0,1
116,1,42.0,3,6,7174.0,4,0,30.0,0
117,1,10.0,1,3,2132.0,4,0,27.0,1
118,1,33.0,1,3,4281.0,1,0,23.0,0
