,MathScore,ReadingScore,WritingScore,Gender_female,Gender_male,EthnicGroup_group A,EthnicGroup_group B,EthnicGroup_group C,EthnicGroup_group D,EthnicGroup_group E,EthnicGroup_unknown,LunchType_free/reduced,LunchType_standard
0,71,71,74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,72,86,82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,74,77,68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,62,52,53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,79,89,82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,53,65,64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,77,77,79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,56,50,41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,49,68,66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,86,96,99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,58,86,82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,79,71,73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,69,62,67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,76,83,85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,45,48,53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,52,62,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,56,65,62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,52,45,41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,58,54,55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,64,62,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,72,88,96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,44,62,59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,38,47,47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,49,54,53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,69,67,69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,70,73,67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,81,86,77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,88,76,80,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,72,70,68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,70,72,74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,56,75,69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,69,90,88,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
